COUNTRY,Country,VAR,Variable,CUR,Currency,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CAN,Canada,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2013,2013,CAD,Canadian Dollar,6,Millions,,,36161,,
CAN,Canada,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2014,2014,CAD,Canadian Dollar,6,Millions,,,37151,,
CAN,Canada,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2008,2008,CAD,Canadian Dollar,6,Millions,,,7062,,
CAN,Canada,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2009,2009,CAD,Canadian Dollar,6,Millions,,,6889,,
CAN,Canada,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2010,2010,CAD,Canadian Dollar,6,Millions,,,7466,,
CAN,Canada,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2011,2011,CAD,Canadian Dollar,6,Millions,,,7764,,
CAN,Canada,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2012,2012,CAD,Canadian Dollar,6,Millions,,,7966,,
CAN,Canada,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2013,2013,CAD,Canadian Dollar,6,Millions,,,8158,,
CAN,Canada,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2014,2014,CAD,Canadian Dollar,6,Millions,,,8039,,
CZE,Czech Republic,EXPORT_TOTAL,Total international receipts,NAT,National currency,2008,2008,CZK,Czech Koruna,6,Millions,,,156671.913,,
CZE,Czech Republic,EXPORT_TOTAL,Total international receipts,NAT,National currency,2009,2009,CZK,Czech Koruna,6,Millions,,,155135.447,,
CZE,Czech Republic,EXPORT_TOTAL,Total international receipts,NAT,National currency,2010,2010,CZK,Czech Koruna,6,Millions,,,154773.036,,
CZE,Czech Republic,EXPORT_TOTAL,Total international receipts,NAT,National currency,2011,2011,CZK,Czech Koruna,6,Millions,,,158789.946,,
CZE,Czech Republic,EXPORT_TOTAL,Total international receipts,NAT,National currency,2012,2012,CZK,Czech Koruna,6,Millions,,,160789.522,,
CZE,Czech Republic,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2008,2008,CZK,Czech Koruna,6,Millions,,,139181,,
CZE,Czech Republic,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2009,2009,CZK,Czech Koruna,6,Millions,,,137022,,
CZE,Czech Republic,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2010,2010,CZK,Czech Koruna,6,Millions,,,136933,,
CZE,Czech Republic,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2011,2011,CZK,Czech Koruna,6,Millions,,,143319,,
CZE,Czech Republic,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2012,2012,CZK,Czech Koruna,6,Millions,,,145958,,
CZE,Czech Republic,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2013,2013,CZK,Czech Koruna,6,Millions,,,137829,,
CZE,Czech Republic,EXPORT_TRAVEL,International travel receipts,NAT,National currency,2014,2014,CZK,Czech Koruna,6,Millions,,,141783,,
CZE,Czech Republic,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2008,2008,CZK,Czech Koruna,6,Millions,,,17490.913,,
CZE,Czech Republic,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2009,2009,CZK,Czech Koruna,6,Millions,,,18113.447,,
CZE,Czech Republic,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2010,2010,CZK,Czech Koruna,6,Millions,,,17840.036,,
CZE,Czech Republic,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2011,2011,CZK,Czech Koruna,6,Millions,,,15470.946,,
CZE,Czech Republic,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2012,2012,CZK,Czech Koruna,6,Millions,,,14831.522,,
CZE,Czech Republic,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2008,2008,CZK,Czech Koruna,6,Millions,,,85329.875,,
CZE,Czech Republic,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2009,2009,CZK,Czech Koruna,6,Millions,,,82437.538,,
CZE,Czech Republic,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2010,2010,CZK,Czech Koruna,6,Millions,,,83435.18,,
CZE,Czech Republic,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2011,2011,CZK,Czech Koruna,6,Millions,,,86216.709,,
CZE,Czech Republic,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2012,2012,CZK,Czech Koruna,6,Millions,,,89546.269,,
CZE,Czech Republic,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2008,2008,CZK,Czech Koruna,6,Millions,,,82558,,
CZE,Czech Republic,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2009,2009,CZK,Czech Koruna,6,Millions,,,80521,,
CZE,Czech Republic,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2010,2010,CZK,Czech Koruna,6,Millions,,,81169,,
CZE,Czech Republic,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2011,2011,CZK,Czech Koruna,6,Millions,,,84382,,
CZE,Czech Republic,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2012,2012,CZK,Czech Koruna,6,Millions,,,87581,,
CZE,Czech Republic,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2013,2013,CZK,Czech Koruna,6,Millions,,,90757,,
CZE,Czech Republic,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2014,2014,CZK,Czech Koruna,6,Millions,,,106722,,
